key,enabled,identity,password,username
user-account-administrator-01,true,"UserIdentity{name: 'Admin', surname: '1', email: 'administrator1@acme.com'}",administrator1,administrator1
user-account-administrator-02,true,"UserIdentity{name: 'Admin', surname: '2', email: 'administrator2@acme.com'}",administrator2,administrator2
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-inventor-01,true,"UserIdentity{name: 'Paz', surname: '<marquee>Hacked</marquee>', email: 'acme@lorem-ipsum.org'}",inventor1,inventor1
user-account-inventor-02,true,"UserIdentity{name: '洛伦·伊普森', surname: 'لوريم إيبسوم', email: 'a@b.es'}",inventor2,inventor2
user-account-inventor-03,true,"UserIdentity{name: 'Paco', surname: 'โลเร็ม อิปซัม', email: 'a@b.esx'}",inventor3,inventor3
